idea_titulo;idea_url
#12960#THREEMOVE;https://plataforma.gpinovacao.senai.br/plataforma/ideia/286547
#13093# Startech;https://plataforma.gpinovacao.senai.br/plataforma/ideia/273665
#13615# Acessibilidade Para Surdos;https://plataforma.gpinovacao.senai.br/plataforma/ideia/275192
automátic pets;https://plataforma.gpinovacao.senai.br/plataforma/ideia/276856
automatic pets;https://plataforma.gpinovacao.senai.br/plataforma/ideia/276866
CLARIFICA+;https://plataforma.gpinovacao.senai.br/plataforma/ideia/274201
Digital Queens;https://plataforma.gpinovacao.senai.br/plataforma/ideia/281597
Food Truck Smart;https://plataforma.gpinovacao.senai.br/plataforma/ideia/275477
Implementação de estações fixa de manutenção padronizadas;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288911
IMPRESSÃO 3D COM REAPROVEITAMENTO DE TECIDO;https://plataforma.gpinovacao.senai.br/plataforma/ideia/291336
Inovação para Segurança de Motoristas em Longas Distâncias;https://plataforma.gpinovacao.senai.br/plataforma/ideia/287787
Melhorando o Monitoramento do Processo Fabril;https://plataforma.gpinovacao.senai.br/plataforma/ideia/292426
Melhorando o Monitoramento do Processo Fabril;https://plataforma.gpinovacao.senai.br/plataforma/ideia/292452
OLEOZERO – Sistema Automatizado de Coleta de Óleo Flutuante;https://plataforma.gpinovacao.senai.br/plataforma/ideia/285064
OPSEN – Olhos sempre abertos para proteger cada entrada.;https://plataforma.gpinovacao.senai.br/plataforma/ideia/289504
Organizador inteligente;https://plataforma.gpinovacao.senai.br/plataforma/ideia/282715
Receiving 4.0;https://plataforma.gpinovacao.senai.br/plataforma/ideia/276455
Sistema de embalagens moduláveis;https://plataforma.gpinovacao.senai.br/plataforma/ideia/275823
Sistema e Plataforma Inteligente  Layout Otimizado e Indentificação Codificada;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288557
Sistema Informatizado para Controle de Elementos Perdidos - Quick Find;https://plataforma.gpinovacao.senai.br/plataforma/ideia/275516
Sistema Inteligente de Gestão de Resíduos Urbanos com IoT;https://plataforma.gpinovacao.senai.br/plataforma/ideia/291760
Sistema para Relacionar e Auditar Inventário de Paletes em Armazéns;https://plataforma.gpinovacao.senai.br/plataforma/ideia/292644
upcycling;https://plataforma.gpinovacao.senai.br/plataforma/ideia/291091
"""Otimização do Uso de Energia por Meio de Monitoramento e Controle Inteligente em uma Fábrica de Garrafas Plásticas""";https://plataforma.gpinovacao.senai.br/plataforma/ideia/276845
#1008# Edificados do Valle;https://plataforma.gpinovacao.senai.br/plataforma/ideia/286286
#1008# Engenharia Delas;https://plataforma.gpinovacao.senai.br/plataforma/ideia/286434
#1008# PrimeTech;https://plataforma.gpinovacao.senai.br/plataforma/ideia/286285
#1008# TARTARUGAS SUPERSÔNICAS;https://plataforma.gpinovacao.senai.br/plataforma/ideia/286303
#1008#Carcará;https://plataforma.gpinovacao.senai.br/plataforma/ideia/286310
#1008#Qu4tro Elementos;https://plataforma.gpinovacao.senai.br/plataforma/ideia/286309
#1008cabadapeste;https://plataforma.gpinovacao.senai.br/plataforma/ideia/275061
#10495 APROXIMAÇÃO DAS COMUNIDADES À INDÚSTRIA PETROLÍFERA;https://plataforma.gpinovacao.senai.br/plataforma/ideia/275322
#10495 Laços & Confiança;https://plataforma.gpinovacao.senai.br/plataforma/ideia/275337
#10495#Biblioflash;https://plataforma.gpinovacao.senai.br/plataforma/ideia/292687
#10495COMES & BEB'S;https://plataforma.gpinovacao.senai.br/plataforma/ideia/275244
#11021# Realidade Virtual;https://plataforma.gpinovacao.senai.br/plataforma/ideia/286599
#12650 ACMS-Automação Inteligente para Gestão de Serragem;https://plataforma.gpinovacao.senai.br/plataforma/ideia/287604
#12650 CA TECH;https://plataforma.gpinovacao.senai.br/plataforma/ideia/287535
#12650 PRODUTECH;https://plataforma.gpinovacao.senai.br/plataforma/ideia/287524
#12650 TECHNOJOVENS;https://plataforma.gpinovacao.senai.br/plataforma/ideia/287603
#12650# WJD SOLUÇÕES INDUSTRIAIS;https://plataforma.gpinovacao.senai.br/plataforma/ideia/278551
#12660#  Projeto SSAR (sistema de segurança em áreas remotas);https://plataforma.gpinovacao.senai.br/plataforma/ideia/275689
#12660# POWERNEST;https://plataforma.gpinovacao.senai.br/plataforma/ideia/275651
#12660# tátilECObraille;https://plataforma.gpinovacao.senai.br/plataforma/ideia/275653
#12670# Logística express;https://plataforma.gpinovacao.senai.br/plataforma/ideia/273833
#12670# TRUCKGUARD Sistema de Monitoramento Biométrico com Alerta Inteligente;https://plataforma.gpinovacao.senai.br/plataforma/ideia/274060
#12670#SENTINEL;https://plataforma.gpinovacao.senai.br/plataforma/ideia/273971
#12675# AWS;https://plataforma.gpinovacao.senai.br/plataforma/ideia/274443
#12675# SensorFlow;https://plataforma.gpinovacao.senai.br/plataforma/ideia/274438
#12675# SoldaMec;https://plataforma.gpinovacao.senai.br/plataforma/ideia/278125
#12675#CylinTech;https://plataforma.gpinovacao.senai.br/plataforma/ideia/274437
#12675#SoldAnálise;https://plataforma.gpinovacao.senai.br/plataforma/ideia/278124
#12680 #Chicleco;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288918
#12680 #VIDROTEC;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288919
#12680# CRIAÇAO DE PRODUTOS PARA PETS COM MATERIA-PRIMA SUSTENTAVEL:AMBIPLAST;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288318
#12680# CRIAÇAO DE PRODUTOS PARA PETS COM MATERIA-PRIMA SUSTENTAVEL:AMBIPLAST;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288320
#12680# Estoque e vendas;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288887
#12680# JMRB;https://plataforma.gpinovacao.senai.br/plataforma/ideia/274732
#12680# Reflorir Compostagem;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288325
#12680# Reflorir Compostagem;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288333
#12680# Sistema Aqua;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288317
#12680# teste de apuração para mão de obra qualifica na caldeiraria;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288988
#12680#teste de apuração pratica para caldeireiro;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288605
#12680#teste de apuração pratica para caldeireiro;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288869
#12680#teste de apuração pratica para caldeireiro;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288762
#12700#;https://plataforma.gpinovacao.senai.br/plataforma/ideia/279553
#12700# AcquaSense;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288209
#12700# Costura Criativa – Mãos que inspiram moda;https://plataforma.gpinovacao.senai.br/plataforma/ideia/285122
#12700# EXAUSTOR GERADOR;https://plataforma.gpinovacao.senai.br/plataforma/ideia/274104
#12700# Fibra de Algodão Livre de Açúcar;https://plataforma.gpinovacao.senai.br/plataforma/ideia/284797
#12700# GestorE;https://plataforma.gpinovacao.senai.br/plataforma/ideia/288198
#12700# Joseane;https://plataforma.gpinovacao.senai.br/plataforma/ideia/284943
#12700# Josiane;https://plataforma.gpinovacao.senai.br/plataforma/ideia/284793
#12700# papelvivo;https://plataforma.gpinovacao.senai.br/plataforma/ideia/284800
#12700# Pontello;https://plataforma.gpinovacao.senai.br/plataforma/ideia/285096
